LR_main_field,type,threshold,measure,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100
Mathematics and computer science,citations,75,n_intext_citations,0.007970278,0.006140066,0.004018876,0.003251367,0.002429037,0.001813344,0.00150128,0.001345248,0.001231387,0.000813896,0.000864501,0.000801245,0.000898238,0.001088006,0.001408504,0.00132838,0.001606707,0.002057934,0.001606707,0.001134394
Physical sciences and engineering,citations,75,n_intext_citations,0.018075969,0.017583897,0.010860539,0.005890889,0.00342144,0.002565207,0.002383475,0.002499504,0.002716882,0.002965015,0.002919583,0.003266969,0.003436818,0.003806571,0.003865983,0.00404352,0.004242027,0.004063092,0.003255785,0.001634882
Social sciences and humanities,citations,75,n_intext_citations,0.109740564,0.071658415,0.055171951,0.043038144,0.033126155,0.025962708,0.020719409,0.017171204,0.015509629,0.013632576,0.012502514,0.012315766,0.01332133,0.016567866,0.020015514,0.024808703,0.027600341,0.027696109,0.026130302,0.016850382
All,citations,75,perc_intext_citations1,0.163327053,0.141366752,0.081473267,0.044686091,0.029388203,0.023667814,0.021070941,0.020312871,0.021174786,0.022277029,0.025809993,0.030836844,0.03831741,0.048105566,0.054753145,0.057391556,0.058349899,0.054061091,0.044438346,0.019191342
Biomedical and health sciences,citations,75,perc_intext_citations1,0.14123795,0.143926056,0.075590978,0.035049522,0.021871854,0.018145538,0.017388372,0.016983337,0.01878698,0.021304806,0.026441302,0.033341765,0.044411601,0.056992463,0.065828824,0.067396059,0.066754617,0.060637772,0.048959558,0.018950647
Life and earth sciences,citations,75,perc_intext_citations1,0.215397056,0.136814468,0.081243105,0.043940959,0.028422109,0.020984641,0.017959738,0.017350764,0.018633602,0.019552055,0.023026201,0.027284026,0.03272985,0.042218861,0.049082296,0.052865921,0.057942367,0.053005685,0.044594858,0.016951437
Mathematics and computer science,citations,75,perc_intext_citations1,0.184031159,0.141772152,0.092794547,0.075073028,0.056085686,0.041869523,0.03466407,0.031061344,0.028432327,0.0187926,0.019961052,0.018500487,0.020740019,0.025121714,0.032521908,0.03067186,0.037098345,0.04751704,0.037098345,0.026192795
Physical sciences and engineering,citations,75,perc_intext_citations1,0.174650341,0.16989593,0.104934728,0.056917872,0.033058019,0.024785072,0.023029182,0.02415025,0.026250566,0.028648032,0.028209059,0.031565512,0.033206594,0.036779156,0.037353197,0.039068568,0.04098654,0.039257663,0.031457457,0.015796263
Social sciences and humanities,citations,75,perc_intext_citations1,0.181828279,0.118730265,0.091413973,0.071309563,0.054886466,0.043017407,0.034329827,0.028450834,0.025697783,0.022587709,0.020715317,0.020405896,0.022072008,0.027451167,0.033163549,0.041105346,0.045730788,0.045889465,0.043295092,0.027919265
All,citations,75,perc_intext_citations2,0.005811573,0.005733969,0.004799268,0.003842303,0.00324716,0.002992898,0.002869511,0.0029136,0.003167615,0.003440634,0.003989021,0.004576784,0.005225267,0.00592408,0.006215917,0.00626181,0.006368781,0.006154859,0.00603163,0.005500443
