LR_main_field,type,threshold,measure,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100
Physical sciences and engineering,citances,70,n_citances,0.0060859,0.00582938,0.003930288,0.002314278,0.001565685,0.00122389,0.001221793,0.001351102,0.001471324,0.001608322,0.001649561,0.001857853,0.001907479,0.002087114,0.002215024,0.002368098,0.002456867,0.002321267,0.001836185,0.000772358
Social sciences and humanities,citances,70,n_citances,0.045159406,0.031335293,0.026958695,0.022950804,0.018660397,0.014930233,0.012761088,0.010515328,0.009844952,0.008657428,0.00844195,0.008288721,0.008805869,0.010256754,0.012191268,0.014954175,0.016816863,0.016778556,0.015212749,0.009423572
All,citances,70,perc_citances1,0.136618933,0.108095537,0.068365214,0.043583847,0.032025017,0.026831818,0.025033971,0.02452702,0.025356259,0.026715097,0.029873524,0.03517299,0.042406188,0.051911083,0.059767952,0.064485558,0.066443678,0.062748685,0.050482562,0.019555068
Biomedical and health sciences,citances,70,perc_citances1,0.133045877,0.110771536,0.061029906,0.033073118,0.022934101,0.020380192,0.01988218,0.020014132,0.021363447,0.023708786,0.028420748,0.035963292,0.047068538,0.060021112,0.070466599,0.074731627,0.075336052,0.069372675,0.054726008,0.017690075
Life and earth sciences,citances,70,perc_citances1,0.1585187,0.106159863,0.066401858,0.039709118,0.027939379,0.022500611,0.020386214,0.021021755,0.022635053,0.02525055,0.02825715,0.033732584,0.040992422,0.051283305,0.060034221,0.065314104,0.06992178,0.067025177,0.05457101,0.018345148
Mathematics and computer science,citances,70,perc_citances1,0.099659647,0.086258243,0.068176984,0.056370985,0.052861093,0.046373112,0.045096788,0.039459689,0.039246969,0.036800681,0.038183365,0.040629653,0.03658796,0.039991491,0.038821527,0.042225058,0.053180174,0.052435652,0.04892576,0.038715167
Physical sciences and engineering,citances,70,perc_citances1,0.132090356,0.126522748,0.085304246,0.050229834,0.033982129,0.026563709,0.026518197,0.029324757,0.031934099,0.034907535,0.0358026,0.040323437,0.041400549,0.045299392,0.04807561,0.05139797,0.053324636,0.05038154,0.039853149,0.016763506
Social sciences and humanities,citances,70,perc_citances1,0.139836603,0.097030085,0.0834779,0.07106742,0.057782127,0.046231633,0.03951485,0.032560829,0.030485002,0.026807823,0.026140593,0.025666118,0.02726747,0.031760153,0.037750397,0.046305769,0.052073603,0.051954984,0.047106445,0.029180197
All,citances,70,perc_citances2,0.004692269,0.004476192,0.003666806,0.003022024,0.002610154,0.002391142,0.002362521,0.002428094,0.002626488,0.002869571,0.003237069,0.003692468,0.004140598,0.004628643,0.004938141,0.005108211,0.005232038,0.005147747,0.005099604,0.004879304
Biomedical and health sciences,citances,70,perc_citances2,0.0058266,0.006185722,0.004819645,0.003488912,0.002772969,0.00261507,0.002663771,0.002814046,0.003153708,0.003617395,0.004249394,0.004906319,0.005510471,0.005967179,0.0061823,0.006166006,0.006186978,0.005994387,0.005654724,0.004966913
Life and earth sciences,citances,70,perc_citances2,0.00536627,0.004224028,0.003331165,0.002555497,0.002082995,0.001797474,0.001704545,0.001850601,0.002120495,0.002497772,0.002848487,0.003260627,0.003590195,0.003994669,0.004251941,0.00439581,0.004637007,0.004536487,0.004559379,0.004476348
Mathematics and computer science,citances,70,perc_citances2,0.001269964,0.001193105,0.001093592,0.001068357,0.001193744,0.001240984,0.001395742,0.001380527,0.001515568,0.001534899,0.001672506,0.001848196,0.001709079,0.001895964,0.001884192,0.002051309,0.002584233,0.002495167,0.002416169,0.002492724
Physical sciences and engineering,citances,70,perc_citances2,0.00201702,0.00225388,0.001988191,0.001616538,0.001369059,0.001194332,0.001239641,0.001385996,0.001517403,0.001674599,0.001742138,0.001985824,0.002065551,0.002270009,0.002416931,0.002588787,0.002701332,0.002684537,0.002907852,0.003015904
Social sciences and humanities,citances,70,perc_citances2,0.011233921,0.009108662,0.007879162,0.007192247,0.006607873,0.006042823,0.005858379,0.005376765,0.005530628,0.00535003,0.005667589,0.005989619,0.006619966,0.007684167,0.008591338,0.009650714,0.010205505,0.01018892,0.010159085,0.009693865
