,pub_year,type,threshold,gender,authorship,perc_intext_citations
140,All,citations,75,male,first,0.004769616
141,2008,citations,70,male,first,0.005252209
142,2009,citations,70,male,first,0.005425287
143,2010,citations,70,male,first,0.005387527
144,2011,citations,70,male,first,0.005201837
145,2012,citations,70,male,first,0.005310132
146,2013,citations,70,male,first,0.005312801
147,2014,citations,70,male,first,0.005154014
148,2015,citations,70,male,first,0.004959753
149,2016,citations,70,male,first,0.004753545
150,All,citations,70,male,first,0.005170994
151,2008,citances,80,male,first,0.003144391
152,2009,citances,80,male,first,0.003175832
153,2010,citances,80,male,first,0.003119996
154,2011,citances,80,male,first,0.003058643
155,2012,citances,80,male,first,0.00308034
156,2013,citances,80,male,first,0.003032535
157,2014,citances,80,male,first,0.002946998
158,2015,citances,80,male,first,0.002853386
159,2016,citances,80,male,first,0.002712721
160,All,citances,80,male,first,0.002992459
161,2008,citances,75,male,first,0.003546727
162,2009,citances,75,male,first,0.003580787
163,2010,citances,75,male,first,0.003511624
164,2011,citances,75,male,first,0.003436487
165,2012,citances,75,male,first,0.003475202
166,2013,citances,75,male,first,0.00344389
167,2014,citances,75,male,first,0.003342074
168,2015,citances,75,male,first,0.003211972
169,2016,citances,75,male,first,0.003056408
170,All,citances,75,male,first,0.00337715
171,2008,citances,70,male,first,0.003910025
172,2009,citances,70,male,first,0.003957667
173,2010,citances,70,male,first,0.003883168
174,2011,citances,70,male,first,0.003810398
175,2012,citances,70,male,first,0.003843955
176,2013,citances,70,male,first,0.003815118
177,2014,citances,70,male,first,0.003753406
178,2015,citances,70,male,first,0.003611425
179,2016,citances,70,male,first,0.003464101
180,All,citances,70,male,first,0.003762293
181,2008,citations,80,male,last,0.004974324
182,2009,citations,80,male,last,0.00509167
183,2010,citations,80,male,last,0.005111727
184,2011,citations,80,male,last,0.005059832
185,2012,citations,80,male,last,0.004827762
186,2013,citations,80,male,last,0.0049669
187,2014,citations,80,male,last,0.004879833
188,2015,citations,80,male,last,0.004860352
189,2016,citations,80,male,last,0.004465937
190,All,citations,80,male,last,0.004214309
191,2008,citations,75,male,last,0.004889857
192,2009,citations,75,male,last,0.005016062
193,2010,citations,75,male,last,0.005005402
194,2011,citations,75,male,last,0.004910035
195,2012,citations,75,male,last,0.004986563
196,2013,citations,75,male,last,0.004980724
197,2014,citations,75,male,last,0.004736155
198,2015,citations,75,male,last,0.004544892
199,2016,citations,75,male,last,0.004397126
200,All,citations,75,male,last,0.004797595
201,2008,citations,70,male,last,0.005244288
202,2009,citations,70,male,last,0.00540117
203,2010,citations,70,male,last,0.005375358
204,2011,citations,70,male,last,0.005273631
205,2012,citations,70,male,last,0.005353746
206,2013,citations,70,male,last,0.005353101
207,2014,citations,70,male,last,0.005128948
208,2015,citations,70,male,last,0.004926637
209,2016,citations,70,male,last,0.004767236
210,All,citations,70,male,last,0.005171762
211,2008,citances,80,male,last,0.00308548
212,2009,citances,80,male,last,0.003135094
213,2010,citances,80,male,last,0.003115768
214,2011,citances,80,male,last,0.003084936
215,2012,citances,80,male,last,0.003094739
216,2013,citances,80,male,last,0.003085012
217,2014,citances,80,male,last,0.002931611
218,2015,citances,80,male,last,0.002822787
219,2016,citances,80,male,last,0.002724445
220,All,citances,80,male,last,0.002985266
221,2008,citances,75,male,last,0.003495381
222,2009,citances,75,male,last,0.003557665
223,2010,citances,75,male,last,0.003545012
224,2011,citances,75,male,last,0.003494325
225,2012,citances,75,male,last,0.003525775
226,2013,citances,75,male,last,0.003510449
227,2014,citances,75,male,last,0.003337174
228,2015,citances,75,male,last,0.003203464
229,2016,citances,75,male,last,0.003105478
230,All,citances,75,male,last,0.003393385
231,2008,citances,70,male,last,0.003827845
232,2009,citances,70,male,last,0.003921942
233,2010,citances,70,male,last,0.003892015
234,2011,citances,70,male,last,0.003838709
235,2012,citances,70,male,last,0.003862973
236,2013,citances,70,male,last,0.003856096
237,2014,citances,70,male,last,0.003716689
238,2015,citances,70,male,last,0.003568613
239,2016,citances,70,male,last,0.003461354
240,All,citances,70,male,last,0.003747434
