LR_main_field,measure,type,threshold,All,F1,F2,M1,M2
Mathematics and computer science,perc_citances_found,citances,80,0.020538325,0.020948106,0.020692898,0.020342995,0.020589327
Physical sciences and engineering,perc_citances_found,citances,80,0.020491195,0.020331887,0.019747397,0.020593157,0.020633592
Social sciences and humanities,perc_citances_found,citances,80,0.054648334,0.057712295,0.057711706,0.052650538,0.053135223
All,perc_citances_found,citances,80,0.031584948,0.033702184,0.033367297,0.030589858,0.030836229
Biomedical and health sciences,n_citances_found,citances,80,1571533,327586,218564,453306,572077
Life and earth sciences,n_citances_found,citances,80,695946,132615,86910,215582,260839
Mathematics and computer science,n_citances_found,citances,80,126564,13495,11662,49863,51544
Physical sciences and engineering,n_citances_found,citances,80,535300,72438,50453,193950,218459
Social sciences and humanities,n_citances_found,citances,80,495647,106446,83705,147327,158169
All,n_citances_found,citances,80,3424990,652580,451294,1060028,1261088
Biomedical and health sciences,tot_n_citances,citances,80,45384399,9265730,6221076,13216266,16681327
Life and earth sciences,tot_n_citances,citances,80,21697508,4045993,2735070,6769161,8147284
Mathematics and computer science,tot_n_citances,citances,80,6162333,644211,563575,2451114,2503433
Physical sciences and engineering,tot_n_citances,citances,80,26123415,3562778,2554919,9418177,10587541
Social sciences and humanities,tot_n_citances,citances,80,9069755,1844425,1450399,2798205,2976726
All,tot_n_citances,citances,80,108437410,19363137,13525039,34652923,40896311
Biomedical and health sciences,perc_citances_valid,citances,80,0.004075828,0.004045013,0.003985806,0.004133997,0.004080431
Life and earth sciences,perc_citances_valid,citances,80,0.0029019,0.002816367,0.002805047,0.002993724,0.002900599
Mathematics and computer science,perc_citances_valid,citances,80,0.000608049,0.000592973,0.000702657,0.000614007,0.000584797
Physical sciences and engineering,perc_citances_valid,citances,80,0.001280346,0.001302355,0.001289278,0.00128613,0.001265639
Social sciences and humanities,perc_citances_valid,citances,80,0.005748226,0.005772531,0.005766,0.005792999,0.005682418
All,perc_citances_valid,citances,80,0.003110292,0.003333344,0.003291747,0.003022227,0.003019294
Biomedical and health sciences,n_citances_valid,citances,80,184979,37480,24796,54636,68067
Life and earth sciences,n_citances_valid,citances,80,62964,11395,7672,20265,23632
Mathematics and computer science,n_citances_valid,citances,80,3747,382,396,1505,1464
Physical sciences and engineering,n_citances_valid,citances,80,33447,4640,3294,12113,13400
Social sciences and humanities,n_citances_valid,citances,80,52135,10647,8363,16210,16915
All,n_citances_valid,citances,80,337272,64544,44521,104729,123478
Biomedical and health sciences,perc_intext_citations,citations,70,0.03707566,0.037891012,0.037711957,0.036703203,0.036686616
Life and earth sciences,perc_intext_citations,citations,70,0.033705562,0.034198188,0.033082657,0.033640815,0.033723566
Mathematics and computer science,perc_intext_citations,citations,70,0.021233082,0.021642684,0.02181754,0.021079984,0.02114473
Physical sciences and engineering,perc_intext_citations,citations,70,0.019818306,0.019479125,0.018896108,0.019984082,0.020008014
Social sciences and humanities,perc_intext_citations,citations,70,0.058339504,0.06128688,0.061349244,0.056423691,0.056755914
All,perc_intext_citations,citations,70,0.03271108,0.035021727,0.034669056,0.031636078,0.031897512
Biomedical and health sciences,n_intext_citations,citations,70,3172559,658636,439168,917744,1157011
Life and earth sciences,n_intext_citations,citations,70,1336792,251277,163744,418400,503371
Mathematics and computer science,n_intext_citations,citations,70,227019,24211,21498,89651,91659
Physical sciences and engineering,n_intext_citations,citations,70,1063736,143237,99103,385619,435777
Social sciences and humanities,n_intext_citations,citations,70,914672,199349,155908,268830,290585
All,n_intext_citations,citations,70,6714778,1276710,879421,2080244,2478403
Biomedical and health sciences,tot_n_intext_citations,citations,70,85569859,17382381,11645325,25004466,31537687
Life and earth sciences,tot_n_intext_citations,citations,70,39660872,7347670,4949542,12437273,14926387
Mathematics and computer science,tot_n_intext_citations,citations,70,10691759,1118669,985354,4252897,4334839
Physical sciences and engineering,tot_n_intext_citations,citations,70,53674415,7353359,5244625,19296308,21780123
Social sciences and humanities,tot_n_intext_citations,citations,70,15678433,3252719,2541319,4764488,5119907
All,tot_n_intext_citations,citations,70,205275338,36454798,25366165,65755432,77698943
Biomedical and health sciences,perc_intext_citations_valid,citations,70,0.00714456,0.007120659,0.006999805,0.007203153,0.00716473
Life and earth sciences,perc_intext_citations_valid,citations,70,0.005422826,0.005083108,0.005105523,0.005699722,0.005464551
Mathematics and computer science,perc_intext_citations_valid,citations,70,0.001418382,0.001384681,0.001573039,0.001436433,0.001374215
Physical sciences and engineering,perc_intext_citations_valid,citations,70,0.002108826,0.002082314,0.002003384,0.002144555,0.002111512
Social sciences and humanities,perc_intext_citations_valid,citations,70,0.0091763,0.009145272,0.009152334,0.009325451,0.00906911
All,perc_intext_citations_valid,citations,70,0.005352119,0.005698317,0.00560199,0.005215113,0.005224061
Biomedical and health sciences,n_intext_citations_valid,citations,70,611359,123774,81515,180111,225959
Life and earth sciences,n_intext_citations_valid,citations,70,215074,37349,25270,70889,81566
Mathematics and computer science,n_intext_citations_valid,citations,70,15165,1549,1550,6109,5957
Physical sciences and engineering,n_intext_citations_valid,citations,70,113190,15312,10507,41382,45989
Social sciences and humanities,n_intext_citations_valid,citations,70,143870,29747,23259,44431,46433
All,n_intext_citations_valid,citations,70,1098658,207731,142101,342922,405904
Biomedical and health sciences,perc_intext_citations,citations,75,0.03707566,0.037891012,0.037711957,0.036703203,0.036686616
Life and earth sciences,perc_intext_citations,citations,75,0.033705562,0.034198188,0.033082657,0.033640815,0.033723566
Mathematics and computer science,perc_intext_citations,citations,75,0.021233082,0.021642684,0.02181754,0.021079984,0.02114473
Physical sciences and engineering,perc_intext_citations,citations,75,0.019818306,0.019479125,0.018896108,0.019984082,0.020008014
Social sciences and humanities,perc_intext_citations,citations,75,0.058339504,0.06128688,0.061349244,0.056423691,0.056755914
All,perc_intext_citations,citations,75,0.03271108,0.035021727,0.034669056,0.031636078,0.031897512
Biomedical and health sciences,n_intext_citations,citations,75,3172559,658636,439168,917744,1157011
Life and earth sciences,n_intext_citations,citations,75,1336792,251277,163744,418400,503371
Mathematics and computer science,n_intext_citations,citations,75,227019,24211,21498,89651,91659
Physical sciences and engineering,n_intext_citations,citations,75,1063736,143237,99103,385619,435777
Social sciences and humanities,n_intext_citations,citations,75,914672,199349,155908,268830,290585
All,n_intext_citations,citations,75,6714778,1276710,879421,2080244,2478403
Biomedical and health sciences,tot_n_intext_citations,citations,75,85569859,17382381,11645325,25004466,31537687
Life and earth sciences,tot_n_intext_citations,citations,75,39660872,7347670,4949542,12437273,14926387
Mathematics and computer science,tot_n_intext_citations,citations,75,10691759,1118669,985354,4252897,4334839
Physical sciences and engineering,tot_n_intext_citations,citations,75,53674415,7353359,5244625,19296308,21780123
Social sciences and humanities,tot_n_intext_citations,citations,75,15678433,3252719,2541319,4764488,5119907
All,tot_n_intext_citations,citations,75,205275338,36454798,25366165,65755432,77698943
Biomedical and health sciences,perc_intext_citations_valid,citations,75,0.006816372,0.006771685,0.006639145,0.00688793,0.00684971
Life and earth sciences,perc_intext_citations_valid,citations,75,0.00497102,0.004668419,0.00465336,0.005217864,0.005019634
Mathematics and computer science,perc_intext_citations_valid,citations,75,0.000930623,0.000881405,0.001065607,0.000938889,0.000904532
Physical sciences and engineering,perc_intext_citations_valid,citations,75,0.001851571,0.001854935,0.001767333,0.00186958,0.001854765
Social sciences and humanities,perc_intext_citations_valid,citations,75,0.008174541,0.008126432,0.008102092,0.008311701,0.008113429
All,perc_intext_citations_valid,citations,75,0.004958837,0.00529612,0.005174452,0.004817777,0.004849577
Biomedical and health sciences,n_intext_citations_valid,citations,75,583276,117708,77315,172229,216024
Life and earth sciences,n_intext_citations_valid,citations,75,197155,34302,23032,64896,74925
Mathematics and computer science,n_intext_citations_valid,citations,75,9950,986,1050,3993,3921
Physical sciences and engineering,n_intext_citations_valid,citations,75,99382,13640,9269,36076,40397
Social sciences and humanities,n_intext_citations_valid,citations,75,128164,26433,20590,39601,41540
All,n_intext_citations_valid,citations,75,1017927,193069,131256,316795,376807
Biomedical and health sciences,perc_intext_citations,citations,80,0.03707566,0.037891012,0.037711957,0.036703203,0.036686616
Life and earth sciences,perc_intext_citations,citations,80,0.033705562,0.034198188,0.033082657,0.033640815,0.033723566
Mathematics and computer science,perc_intext_citations,citations,80,0.021233082,0.021642684,0.02181754,0.021079984,0.02114473
Physical sciences and engineering,perc_intext_citations,citations,80,0.019818306,0.019479125,0.018896108,0.019984082,0.020008014
