pub_year,type,threshold,field,perc_intext_citations
1999,citances,75,Social sciences and humanities,NA
2000,citances,75,Social sciences and humanities,0.006842441
2001,citances,75,Social sciences and humanities,0.007288209
2002,citances,75,Social sciences and humanities,0.006719529
2003,citances,75,Social sciences and humanities,0.007174786
2004,citances,75,Social sciences and humanities,0.006608216
2005,citances,75,Social sciences and humanities,0.006919039
2006,citances,75,Social sciences and humanities,0.006886121
2007,citances,75,Social sciences and humanities,0.006942781
2008,citances,75,Social sciences and humanities,0.006580415
2009,citances,75,Social sciences and humanities,0.006808387
2010,citances,75,Social sciences and humanities,0.006894301
2011,citances,75,Social sciences and humanities,0.00658994
2012,citances,75,Social sciences and humanities,0.006506165
2013,citances,75,Social sciences and humanities,0.006759964
2014,citances,75,Social sciences and humanities,0.006476733
2015,citances,75,Social sciences and humanities,0.006515809
2016,citances,75,Social sciences and humanities,NA
All,citances,75,Social sciences and humanities,0.006694136
1998,citances,80,Social sciences and humanities,NA
1999,citances,80,Social sciences and humanities,NA
2000,citances,80,Social sciences and humanities,0.006293278
2001,citances,80,Social sciences and humanities,0.006698898
2002,citances,80,Social sciences and humanities,0.00612247
2003,citances,80,Social sciences and humanities,0.006532852
2004,citances,80,Social sciences and humanities,0.006041999
2005,citances,80,Social sciences and humanities,0.006386552
2006,citances,80,Social sciences and humanities,0.006334912
2007,citances,80,Social sciences and humanities,0.006329478
2008,citances,80,Social sciences and humanities,0.006009056
2009,citances,80,Social sciences and humanities,0.006234228
2010,citances,80,Social sciences and humanities,0.006367277
2011,citances,80,Social sciences and humanities,0.006003269
2012,citances,80,Social sciences and humanities,0.005906246
2013,citances,80,Social sciences and humanities,0.006177489
2014,citances,80,Social sciences and humanities,0.005861419
2015,citances,80,Social sciences and humanities,0.005941629
2016,citances,80,Social sciences and humanities,NA
All,citances,80,Social sciences and humanities,0.006112487
1998,citations,70,Social sciences and humanities,NA
1999,citations,70,Social sciences and humanities,NA
2000,citations,70,Social sciences and humanities,0.010241751
2001,citations,70,Social sciences and humanities,0.010219616
2002,citations,70,Social sciences and humanities,0.009812291
2003,citations,70,Social sciences and humanities,0.010365733
2004,citations,70,Social sciences and humanities,0.009827481
2005,citations,70,Social sciences and humanities,0.010357936
2006,citations,70,Social sciences and humanities,0.010328804
2007,citations,70,Social sciences and humanities,0.010100953
2008,citations,70,Social sciences and humanities,0.009570465
2009,citations,70,Social sciences and humanities,0.009757511
2010,citations,70,Social sciences and humanities,0.010304698
2011,citations,70,Social sciences and humanities,0.009488388
2012,citations,70,Social sciences and humanities,0.009328982
2013,citations,70,Social sciences and humanities,0.009661658
2014,citations,70,Social sciences and humanities,0.009532519
2015,citations,70,Social sciences and humanities,0.009604765
2016,citations,70,Social sciences and humanities,NA
All,citations,70,Social sciences and humanities,0.009762723
1998,citations,75,Social sciences and humanities,NA
1999,citations,75,Social sciences and humanities,NA
2000,citations,75,Social sciences and humanities,0.009025567
2001,citations,75,Social sciences and humanities,0.009082457
2002,citations,75,Social sciences and humanities,0.0085683
2003,citations,75,Social sciences and humanities,0.009131606
2004,citations,75,Social sciences and humanities,0.00863966
2005,citations,75,Social sciences and humanities,0.009045458
2006,citations,75,Social sciences and humanities,0.009157561
2007,citations,75,Social sciences and humanities,0.009099264
2008,citations,75,Social sciences and humanities,0.008539924
2009,citations,75,Social sciences and humanities,0.008600801
2010,citations,75,Social sciences and humanities,0.00925836
2011,citations,75,Social sciences and humanities,0.008426573
2012,citations,75,Social sciences and humanities,0.008276481
2013,citations,75,Social sciences and humanities,0.00849668
2014,citations,75,Social sciences and humanities,0.008315172
2015,citations,75,Social sciences and humanities,0.008493717
2016,citations,75,Social sciences and humanities,NA
All,citations,75,Social sciences and humanities,0.008632831
1998,citations,80,Social sciences and humanities,NA
1999,citations,80,Social sciences and humanities,NA
2000,citations,80,Social sciences and humanities,0.008509374
2001,citations,80,Social sciences and humanities,0.008549066
2002,citations,80,Social sciences and humanities,0.0081621
2003,citations,80,Social sciences and humanities,0.008664702
2004,citations,80,Social sciences and humanities,0.008251455
2005,citations,80,Social sciences and humanities,0.008732118
2006,citations,80,Social sciences and humanities,0.008666242
2007,citations,80,Social sciences and humanities,0.008658977
2008,citations,80,Social sciences and humanities,0.008066965
2009,citations,80,Social sciences and humanities,0.008220829
2010,citations,80,Social sciences and humanities,0.008823398
2011,citations,80,Social sciences and humanities,0.007977942
2012,citations,80,Social sciences and humanities,0.00785928
2013,citations,80,Social sciences and humanities,0.008051579
2014,citations,80,Social sciences and humanities,0.007879743
2015,citations,80,Social sciences and humanities,0.008043319
2016,citations,80,Social sciences and humanities,NA
All,citations,80,Social sciences and humanities,0.007926777
